MARCA,MODELO,VERS_SISTEMA
Apple,iPhone 11 Pro Max,18.3
Apple,iPhone 11 Pro Max,18.1.1
Apple,iPhone 11 Pro Max,16.3.1
Apple,iPhone 11 Pro Max,16.2
Apple,iPhone 11 Pro Max,16.6
Apple,iPhone 11 Pro Max,18.3.1
Apple,iPhone 11 Pro Max,16.3
Apple,iPhone 11 Pro Max,18.2.1
Apple,iPhone 11 Pro Max,17.5
Apple,iPhone 12,17.4.1
Apple,iPhone 12,16
Apple,iPhone 12,17.5.1
Apple,iPhone 12,16.3
Apple,iPhone 12,17.6
Apple,iPhone 12,18.0.1
Apple,iPhone 12,16.0.2
Apple,iPhone 12,17.2.1
Apple,iPhone 12,16.4.1
Apple,iPhone 12,16.3.1
Apple,iPhone 12,15.7
Apple,iPhone 12,17.7.1
Apple,iPhone 12,16.6.1
Apple,iPhone 12,17.1.1
Apple,iPhone 12,17.1.2
Apple,iPhone 12,17.6.1
Apple,iPhone 12,18
Apple,iPhone 12,17.2
Apple,iPhone 12,17.5
Apple,iPhone 12,18.3.2
Apple,iPhone 12,17.0.3
Apple,iPhone 12,16.6
Apple,iPhone 12,16.0.3
Apple,iPhone 12,17.7
Apple,iPhone 12,17.4
Apple,iPhone 12,16.2
Apple,iPhone 12,16.5.1
Apple,iPhone 12,17.0.1
Apple,iPhone 12,18.3
Apple,iPhone 12,17.7.2
Apple,iPhone 12,18.1
Apple,iPhone 12,16.1
Apple,iPhone 12,18.4
Apple,iPhone 12,15.2
Apple,iPhone 12,16.5
Apple,iPhone 12,16.4
Apple,iPhone 12,17.3
Apple,iPhone 12,18.2
Apple,iPhone 12,18.3.1
Apple,iPhone 12,17.0.2
Apple,iPhone 12,16.7
Apple,iPhone 12,15.1.1
Apple,iPhone 12,15.1
Apple,iPhone 12,18.2.1
Apple,iPhone 12,15.5
Apple,iPhone 12,16.1.1
Apple,iPhone 12,17.3.1
Apple,iPhone 12,15.6.1
Apple,iPhone 12,18.1.1
Apple,iPhone 12,16.1.2
Apple,iPhone 12 Pro,17.4
Apple,iPhone 12 Pro,18.2.1
Apple,iPhone 12 Pro,16.6.1
Apple,iPhone 12 Pro,18.0.1
Apple,iPhone 12 Pro,17.2.1
Apple,iPhone 12 Pro,17.5
Apple,iPhone 12 Pro,16
Apple,iPhone 12 Pro,18.3.2
Apple,iPhone 12 Pro,17.5.1
Apple,iPhone 12 Pro,18.2
Apple,iPhone 12 Pro,17.0.2
Apple,iPhone 12 Pro,17.4.1
Apple,iPhone 12 Pro,18.1
Apple,iPhone 12 Pro,17.6.1
Apple,iPhone 12 Pro,17.7
Apple,iPhone 12 Pro,17.6
Apple,iPhone 12 Pro,18
Apple,iPhone 12 Pro,17
Apple,iPhone 12 Pro,16.1.1
Apple,iPhone 12 Pro,17.1.2
Apple,iPhone 12 Pro,16.4.1
Apple,iPhone 12 Pro,16.1.2
Apple,iPhone 12 Pro,16.2
Apple,iPhone 12 Pro,18.3
Apple,iPhone 12 Pro,18.1.1
Apple,iPhone 12 Pro,18.3.1
Apple,iPhone 12 Pro,18.4
Apple,iPhone 12 Pro,17.3
Apple,iPhone 12 Pro,17.3.1
Apple,iPhone 12 Pro,17.2
Apple,iPhone 12 Pro,16.6
Apple,iPhone 12 Pro,16.3.1
Apple,iPhone 12 mini,18.0.1
Apple,iPhone 12 mini,17.6
Apple,iPhone 12 mini,15.6.1
Apple,iPhone 12 mini,17.6.1
Apple,iPhone 12 mini,17.1.2
Apple,iPhone 12 mini,18.3.1
Apple,iPhone 12 mini,16.6
Apple,iPhone 12 mini,16.1.2
Apple,iPhone 12 mini,18.3
Apple,iPhone 12 mini,18.2
Apple,iPhone 12 mini,15.5
Apple,iPhone 12 mini,17.1.1
Apple,iPhone 12 mini,17.7
Apple,iPhone 12 mini,18.1
Apple,iPhone 12 mini,18.3.2
Apple,iPhone 12 mini,16.3.1
Apple,iPhone 12 mini,17.7.1
Apple,iPhone 12 mini,16.4.1
Apple,iPhone 12 mini,16.1.1
Apple,iPhone 12 mini,18.2.1
Apple,iPhone 12 mini,16.7
Apple,iPhone 12 mini,17.5.1
Apple,iPhone 12 mini,18.1.1
Apple,iPhone 12 mini,17.3.1
Apple,iPhone 12 mini,17
Apple,iPhone 12 mini,17.4.1
Apple,iPhone 12 mini,18
Apple,iPhone 12 mini,16.0.2
Apple,iPhone 12 mini,17.2.1
Apple,iPhone 13,16.1.2
Apple,iPhone 13,15.4.1
Apple,iPhone 13,18.0.1
Apple,iPhone 13,15.1.1
Apple,iPhone 13,17.4
Apple,iPhone 13,17.7
Apple,iPhone 13,16.5
Apple,iPhone 13,18.3.1
Apple,iPhone 13,17.1.1
Apple,iPhone 13,17
Apple,iPhone 13,18
Apple,iPhone 13,16
Apple,iPhone 13,16.6.1
Apple,iPhone 13,17.6.1
Apple,iPhone 13,17.4.1
Apple,iPhone 13,16.2
Apple,iPhone 13,17.3.1
Apple,iPhone 13,16.5.1
Apple,iPhone 13,17.5
Apple,iPhone 13,15.6.1
Apple,iPhone 13,17.7.1
Apple,iPhone 13,18.1
Apple,iPhone 13,16.1.1
Apple,iPhone 13,18.3
Apple,iPhone 13,17.1.2
Apple,iPhone 13,18.4
Apple,iPhone 13,17.3
Apple,iPhone 13,17.0.3
Apple,iPhone 13,16.0.2
Apple,iPhone 13,15.2
Apple,iPhone 13,18.2.1
Apple,iPhone 13,16.7.2
